Time,Names,Data,Temperature
0,JX0811,0.1025,28
0,JX0811,0.1029,28
0,JX0811,0.1001,28
0,JX0811,0.0928,28
0,JX0811,0.1182,28
0,JX0811,0.1176,28
0,HA9801,0.0834,28
0,HA9801,0.0892,28
0,HA9801,0.0915,28
0,HA9801,0.0899,28
0,HA9801,0.091,28
0,HA9801,0.112,28
0,hrcA-YR,0.0835,28
0,hrcA-YR,0.0869,28
0,hrcA-YR,0.0944,28
0,hrcA-YR,0.0966,28
0,hrcA-YR,0.1162,28
0,hrcA-YR,0.1147,28
0,GrpE-YR,0.0972,28
0,GrpE-YR,0.0968,28
0,GrpE-YR,0.0897,28
0,GrpE-YR,0.0772,28
0,GrpE-YR,0.0798,28
0,GrpE-YR,0.1254,28
0,DC-HP-WR,0.1016,28
0,DC-HP-WR,0.0853,28
0,DC-HP-WR,0.0919,28
0,DC-HP-WR,0.0951,28
0,DC-HP-WR,0.1032,28
0,DC-HP-WR,0.1042,28
0,DnaJ-YR,0.0936,28
0,DnaJ-YR,0.0837,28
0,DnaJ-YR,0.0932,28
0,DnaJ-YR,0.0946,28
0,DnaJ-YR,0.0897,28
0,DnaJ-YR,0.101,28
0,DC-YR,0.0919,28
0,DC-YR,0.0901,28
0,DC-YR,0.0878,28
0,DC-YR,0.0948,28
0,DC-YR,0.0989,28
0,DC-YR,0.1041,28
0,BHI,0.0841,28
0,BHI,0.0782,28
0,BHI,0.0937,28
0,BHI,0.0927,28
0,BHI,0.0834,28
0,BHI,0.1096,28
2,JX0811,0.0966,28
2,JX0811,0.0999,28
2,JX0811,0.1105,28
2,JX0811,0.1001,28
2,JX0811,0.1155,28
2,JX0811,0.1091,28
2,HA9801,0.072,28
2,HA9801,0.0744,28
2,HA9801,0.119,28
2,HA9801,0.1071,28
2,HA9801,0.1056,28
2,HA9801,0.1081,28
2,hrcA-YR,0.0615,28
2,hrcA-YR,0.1659,28
2,hrcA-YR,0.1074,28
2,hrcA-YR,0.1674,28
2,hrcA-YR,0.1233,28
2,hrcA-YR,0.1284,28
2,GrpE-YR,0.1137,28
2,GrpE-YR,0.111,28
2,GrpE-YR,0.1083,28
2,GrpE-YR,0.111,28
2,GrpE-YR,0.1159,28
2,GrpE-YR,0.1284,28
2,DC-HP-WR,0.1219,28
2,DC-HP-WR,0.1336,28
2,DC-HP-WR,0.1551,28
2,DC-HP-WR,0.1502,28
2,DC-HP-WR,0.1523,28
2,DC-HP-WR,0.1414,28
2,DnaJ-YR,0.1129,28
2,DnaJ-YR,0.1053,28
2,DnaJ-YR,0.1163,28
2,DnaJ-YR,0.1075,28
2,DnaJ-YR,0.1116,28
2,DnaJ-YR,0.1182,28
2,DC-YR,0.1187,28
2,DC-YR,0.1434,28
2,DC-YR,0.0914,28
2,DC-YR,0.1043,28
2,DC-YR,0.124,28
2,DC-YR,0.1155,28
2,BHI,0.1091,28
2,BHI,0.11,28
2,BHI,0.1179,28
2,BHI,0.1036,28
2,BHI,0.1058,28
2,BHI,0.1094,28
4,JX0811,0.122,28
4,JX0811,0.1254,28
4,JX0811,0.1319,28
4,JX0811,0.1307,28
4,JX0811,0.138,28
4,JX0811,0.1306,28
4,HA9801,0.1772,28
4,HA9801,0.1802,28
4,HA9801,0.1701,28
4,HA9801,0.168,28
4,HA9801,0.1765,28
4,HA9801,0.1624,28
4,hrcA-YR,0.156,28
4,hrcA-YR,0.1659,28
4,hrcA-YR,0.1619,28
4,hrcA-YR,0.1622,28
4,hrcA-YR,0.1686,28
4,hrcA-YR,0.1638,28
4,GrpE-YR,0.151,28
4,GrpE-YR,0.1487,28
4,GrpE-YR,0.1609,28
4,GrpE-YR,0.1564,28
4,GrpE-YR,0.1597,28
4,GrpE-YR,0.1636,28
4,DC-HP-WR,0.1752,28
4,DC-HP-WR,0.1757,28
4,DC-HP-WR,0.2104,28
4,DC-HP-WR,0.1821,28
4,DC-HP-WR,0.2313,28
4,DC-HP-WR,0.1638,28
4,DnaJ-YR,0.1374,28
4,DnaJ-YR,0.0973,28
4,DnaJ-YR,0.1372,28
4,DnaJ-YR,0.1242,28
4,DnaJ-YR,0.0973,28
4,DnaJ-YR,0.1147,28
4,DC-YR,0.149,28
4,DC-YR,0.1511,28
4,DC-YR,0.1329,28
4,DC-YR,0.1652,28
4,DC-YR,0.1621,28
4,DC-YR,0.1616,28
4,BHI,0.0633,28
4,BHI,0.0584,28
4,BHI,0.1032,28
4,BHI,0.1044,28
4,BHI,0.1264,28
4,BHI,0.1157,28
6,JX0811,0.1759,28
6,JX0811,0.1814,28
6,JX0811,0.187,28
6,JX0811,0.2143,28
6,JX0811,0.209,28
6,JX0811,0.1893,28
6,HA9801,0.2448,28
6,HA9801,0.2479,28
6,HA9801,0.2507,28
6,HA9801,0.2493,28
6,HA9801,0.2645,28
6,HA9801,0.2564,28
6,hrcA-YR,0.2188,28
6,hrcA-YR,0.2367,28
6,hrcA-YR,0.2395,28
6,hrcA-YR,0.2317,28
6,hrcA-YR,0.2825,28
6,hrcA-YR,0.2324,28
6,GrpE-YR,0.2299,28
6,GrpE-YR,0.2191,28
6,GrpE-YR,0.2293,28
6,GrpE-YR,0.2247,28
6,GrpE-YR,0.2348,28
6,GrpE-YR,0.2317,28
6,DC-HP-WR,0.2572,28
6,DC-HP-WR,0.2498,28
6,DC-HP-WR,0.265,28
6,DC-HP-WR,0.272,28
6,DC-HP-WR,0.2721,28
6,DC-HP-WR,0.2666,28
6,DnaJ-YR,0.1613,28
6,DnaJ-YR,0.1997,28
6,DnaJ-YR,0.1964,28
6,DnaJ-YR,0.2072,28
6,DnaJ-YR,0.1963,28
6,DnaJ-YR,0.1932,28
6,DC-YR,0.193,28
6,DC-YR,0.2509,28
6,DC-YR,0.256,28
6,DC-YR,0.268,28
6,DC-YR,0.2888,28
6,DC-YR,0.2499,28
6,BHI,0.1013,28
6,BHI,0.1078,28
6,BHI,0.1139,28
6,BHI,0.1077,28
6,BHI,0.1106,28
6,BHI,0.1172,28
8,JX0811,0.2816,28
8,JX0811,0.2604,28
8,JX0811,0.2711,28
8,JX0811,0.3006,28
8,JX0811,0.2835,28
8,JX0811,0.267,28
8,HA9801,0.3441,28
8,HA9801,0.3374,28
8,HA9801,0.3476,28
8,HA9801,0.3453,28
8,HA9801,0.3442,28
8,HA9801,0.3318,28
8,hrcA-YR,0.3174,28
8,hrcA-YR,0.3359,28
8,hrcA-YR,0.3406,28
8,hrcA-YR,0.3407,28
8,hrcA-YR,0.3782,28
8,hrcA-YR,0.3357,28
8,GrpE-YR,0.3259,28
8,GrpE-YR,0.3268,28
8,GrpE-YR,0.3196,28
8,GrpE-YR,0.323,28
8,GrpE-YR,0.3305,28
8,GrpE-YR,0.3544,28
8,DC-HP-WR,0.348,28
8,DC-HP-WR,0.3538,28
8,DC-HP-WR,0.3722,28
8,DC-HP-WR,0.3916,28
8,DC-HP-WR,0.3513,28
8,DC-HP-WR,0.3829,28
8,DnaJ-YR,0.2758,28
8,DnaJ-YR,0.2426,28
8,DnaJ-YR,0.2924,28
8,DnaJ-YR,0.2998,28
8,DnaJ-YR,0.2958,28
8,DnaJ-YR,0.3212,28
8,DC-YR,0.3038,28
8,DC-YR,0.3327,28
8,DC-YR,0.3664,28
8,DC-YR,0.3474,28
8,DC-YR,0.3307,28
8,DC-YR,0.3584,28
8,BHI,0.1274,28
8,BHI,0.1228,28
8,BHI,0.1202,28
8,BHI,0.0741,28
8,BHI,0.1139,28
8,BHI,0.1421,28
10,JX0811,0.3562,28
10,JX0811,0.3477,28
10,JX0811,0.3578,28
10,JX0811,0.3728,28
10,JX0811,0.3529,28
10,JX0811,0.3677,28
10,HA9801,0.3909,28
10,HA9801,0.3661,28
10,HA9801,0.3713,28
10,HA9801,0.3989,28
10,HA9801,0.3722,28
10,HA9801,0.4087,28
10,hrcA-YR,0.3785,28
10,hrcA-YR,0.385,28
10,hrcA-YR,0.4024,28
10,hrcA-YR,0.4193,28
10,hrcA-YR,0.4058,28
10,hrcA-YR,0.3744,28
10,GrpE-YR,0.3955,28
10,GrpE-YR,0.3371,28
10,GrpE-YR,0.3903,28
10,GrpE-YR,0.3975,28
10,GrpE-YR,0.3941,28
10,GrpE-YR,0.3895,28
10,DC-HP-WR,0.4059,28
10,DC-HP-WR,0.4053,28
10,DC-HP-WR,0.4479,28
10,DC-HP-WR,0.4803,28
10,DC-HP-WR,0.4135,28
10,DC-HP-WR,0.406,28
10,DnaJ-YR,0.3618,28
10,DnaJ-YR,0.3724,28
10,DnaJ-YR,0.3635,28
10,DnaJ-YR,0.3612,28
10,DnaJ-YR,0.3599,28
10,DnaJ-YR,0.3588,28
10,DC-YR,0.3806,28
10,DC-YR,0.3781,28
10,DC-YR,0.4012,28
10,DC-YR,0.3928,28
10,DC-YR,0.3994,28
10,DC-YR,0.4038,28
10,BHI,0.0942,28
10,BHI,0.0878,28
10,BHI,0.0647,28
10,BHI,0.0867,28
10,BHI,0.093,28
10,BHI,0.1207,28
0,JX0811,0.0931,37
0,JX0811,0.1118,37
0,JX0811,0.1005,37
0,JX0811,0.1045,37
0,JX0811,0.1048,37
0,JX0811,0.1025,37
0,HA9801,0.0938,37
0,HA9801,0.0852,37
0,HA9801,0.1036,37
0,HA9801,0.0883,37
0,HA9801,0.0925,37
0,HA9801,0.0959,37
0,hrcA-YR,0.0906,37
0,hrcA-YR,0.0946,37
0,hrcA-YR,0.0824,37
0,hrcA-YR,0.0884,37
0,hrcA-YR,0.0923,37
0,hrcA-YR,0.096,37
0,GrpE-YR,0.0856,37
0,GrpE-YR,0.0872,37
0,GrpE-YR,0.089,37
0,GrpE-YR,0.0925,37
0,GrpE-YR,0.089,37
0,GrpE-YR,0.0964,37
0,DC-HP-WR,0.0846,37
0,DC-HP-WR,0.0795,37
0,DC-HP-WR,0.1035,37
0,DC-HP-WR,0.0899,37
0,DC-HP-WR,0.0862,37
0,DC-HP-WR,0.1107,37
0,DnaJ-YR,0.0778,37
0,DnaJ-YR,0.0818,37
0,DnaJ-YR,0.0792,37
0,DnaJ-YR,0.0791,37
0,DnaJ-YR,0.0923,37
0,DnaJ-YR,0.1084,37
0,DC-YR,0.078,37
0,DC-YR,0.0993,37
0,DC-YR,0.0962,37
0,DC-YR,0.098,37
0,DC-YR,0.1017,37
0,DC-YR,0.1004,37
0,BHI,0.0957,37
0,BHI,0.0874,37
0,BHI,0.09,37
0,BHI,0.0878,37
0,BHI,0.0997,37
0,BHI,0.1052,37
2,JX0811,0.1448,37
2,JX0811,0.1704,37
2,JX0811,0.0986,37
2,JX0811,0.1063,37
2,JX0811,0.1176,37
2,JX0811,0.1055,37
2,HA9801,0.0791,37
2,HA9801,0.1299,37
2,HA9801,0.1371,37
2,HA9801,0.1338,37
2,HA9801,0.1221,37
2,HA9801,0.1109,37
2,hrcA-YR,0.0602,37
2,hrcA-YR,0.1333,37
2,hrcA-YR,0.1133,37
2,hrcA-YR,0.1132,37
2,hrcA-YR,0.1091,37
2,hrcA-YR,0.11,37
2,GrpE-YR,0.1072,37
2,GrpE-YR,0.1034,37
2,GrpE-YR,0.056,37
2,GrpE-YR,0.1091,37
2,GrpE-YR,0.1049,37
2,GrpE-YR,0.1091,37
2,DC-HP-WR,0.1232,37
2,DC-HP-WR,0.1337,37
2,DC-HP-WR,0.1107,37
2,DC-HP-WR,0.1322,37
2,DC-HP-WR,0.1258,37
2,DC-HP-WR,0.1353,37
2,DnaJ-YR,0.1136,37
2,DnaJ-YR,0.0598,37
2,DnaJ-YR,0.0862,37
2,DnaJ-YR,0.0529,37
2,DnaJ-YR,0.095,37
2,DnaJ-YR,0.1001,37
2,DC-YR,0.117,37
2,DC-YR,0.1034,37
2,DC-YR,0.1169,37
2,DC-YR,0.1368,37
2,DC-YR,0.143,37
2,DC-YR,0.1434,37
2,BHI,0.0558,37
2,BHI,0.0802,37
2,BHI,0.0651,37
2,BHI,0.0378,37
2,BHI,0.0682,37
2,BHI,0.1197,37
4,JX0811,0.2949,37
4,JX0811,0.3006,37
4,JX0811,0.3032,37
4,JX0811,0.3219,37
4,JX0811,0.3175,37
4,JX0811,0.3009,37
4,HA9801,0.3698,37
4,HA9801,0.3746,37
4,HA9801,0.3651,37
4,HA9801,0.3781,37
4,HA9801,0.3704,37
4,HA9801,0.3544,37
4,hrcA-YR,0.357,37
4,hrcA-YR,0.3392,37
4,hrcA-YR,0.3626,37
4,hrcA-YR,0.3444,37
4,hrcA-YR,0.3472,37
4,hrcA-YR,0.3554,37
4,GrpE-YR,0.3426,37
4,GrpE-YR,0.3512,37
4,GrpE-YR,0.3576,37
4,GrpE-YR,0.3413,37
4,GrpE-YR,0.3527,37
4,GrpE-YR,0.3637,37
4,DC-HP-WR,0.3629,37
4,DC-HP-WR,0.3818,37
4,DC-HP-WR,0.3906,37
4,DC-HP-WR,0.3979,37
4,DC-HP-WR,0.3955,37
4,DC-HP-WR,0.3791,37
4,DnaJ-YR,0.2682,37
4,DnaJ-YR,0.317,37
4,DnaJ-YR,0.3201,37
4,DnaJ-YR,0.3125,37
4,DnaJ-YR,0.3166,37
4,DnaJ-YR,0.3134,37
4,DC-YR,0.2747,37
4,DC-YR,0.3391,37
4,DC-YR,0.3378,37
4,DC-YR,0.346,37
4,DC-YR,0.3391,37
4,DC-YR,0.3593,37
4,BHI,0.1216,37
4,BHI,0.1212,37
4,BHI,0.1313,37
4,BHI,0.11,37
4,BHI,0.1221,37
4,BHI,0.1583,37
6,JX0811,0.4714,37
6,JX0811,0.466,37
6,JX0811,0.4808,37
6,JX0811,0.4826,37
6,JX0811,0.4931,37
6,JX0811,0.4514,37
6,HA9801,0.4278,37
6,HA9801,0.4191,37
6,HA9801,0.4247,37
6,HA9801,0.4153,37
6,HA9801,0.4277,37
6,HA9801,0.4261,37
6,hrcA-YR,0.4268,37
6,hrcA-YR,0.4058,37
6,hrcA-YR,0.3905,37
6,hrcA-YR,0.4064,37
6,hrcA-YR,0.4304,37
6,hrcA-YR,0.4407,37
6,GrpE-YR,0.3686,37
6,GrpE-YR,0.4126,37
6,GrpE-YR,0.4129,37
6,GrpE-YR,0.4068,37
6,GrpE-YR,0.4082,37
6,GrpE-YR,0.4509,37
6,DC-HP-WR,0.3718,37
6,DC-HP-WR,0.4069,37
6,DC-HP-WR,0.4078,37
6,DC-HP-WR,0.4256,37
6,DC-HP-WR,0.3974,37
6,DC-HP-WR,0.4364,37
6,DnaJ-YR,0.4406,37
6,DnaJ-YR,0.4242,37
6,DnaJ-YR,0.4237,37
6,DnaJ-YR,0.3921,37
6,DnaJ-YR,0.3977,37
6,DnaJ-YR,0.4756,37
6,DC-YR,0.4298,37
6,DC-YR,0.4275,37
6,DC-YR,0.4266,37
6,DC-YR,0.4188,37
6,DC-YR,0.4275,37
6,DC-YR,0.4666,37
6,BHI,0.0842,37
6,BHI,0.0887,37
6,BHI,0.086,37
6,BHI,0.1066,37
6,BHI,0.0976,37
6,BHI,0.1172,37
8,JX0811,0.4898,37
8,JX0811,0.4956,37
8,JX0811,0.4897,37
8,JX0811,0.4771,37
8,JX0811,0.4706,37
8,JX0811,0.4799,37
8,HA9801,0.4663,37
8,HA9801,0.4593,37
8,HA9801,0.4755,37
8,HA9801,0.4579,37
8,HA9801,0.455,37
8,HA9801,0.463,37
8,hrcA-YR,0.4645,37
8,hrcA-YR,0.4082,37
8,hrcA-YR,0.4693,37
8,hrcA-YR,0.5103,37
8,hrcA-YR,0.4921,37
8,hrcA-YR,0.4422,37
8,GrpE-YR,0.4428,37
8,GrpE-YR,0.438,37
8,GrpE-YR,0.4258,37
8,GrpE-YR,0.3943,37
8,GrpE-YR,0.436,37
8,GrpE-YR,0.4285,37
8,DC-HP-WR,0.4497,37
8,DC-HP-WR,0.4314,37
8,DC-HP-WR,0.4462,37
8,DC-HP-WR,0.469,37
8,DC-HP-WR,0.4488,37
8,DC-HP-WR,0.456,37
8,DnaJ-YR,0.402,37
8,DnaJ-YR,0.3906,37
8,DnaJ-YR,0.3897,37
8,DnaJ-YR,0.3843,37
8,DnaJ-YR,0.3893,37
8,DnaJ-YR,0.4063,37
8,DC-YR,0.5046,37
8,DC-YR,0.4914,37
8,DC-YR,0.4978,37
8,DC-YR,0.4816,37
8,DC-YR,0.4727,37
8,DC-YR,0.4877,37
8,BHI,0.0519,37
8,BHI,0.0418,37
8,BHI,0.0586,37
8,BHI,0.0536,37
8,BHI,0.0599,37
8,BHI,0.0632,37
10,JX0811,0.5341,37
10,JX0811,0.518,37
10,JX0811,0.524,37
10,JX0811,0.5352,37
10,JX0811,0.5125,37
10,JX0811,0.5721,37
10,HA9801,0.519,37
10,HA9801,0.5046,37
10,HA9801,0.5285,37
10,HA9801,0.5261,37
10,HA9801,0.4851,37
10,HA9801,0.5892,37
10,hrcA-YR,0.512,37
10,hrcA-YR,0.5278,37
10,hrcA-YR,0.505,37
10,hrcA-YR,0.5061,37
10,hrcA-YR,0.5519,37
10,hrcA-YR,0.5015,37
10,GrpE-YR,0.4944,37
10,GrpE-YR,0.4857,37
10,GrpE-YR,0.496,37
10,GrpE-YR,0.5007,37
10,GrpE-YR,0.4862,37
10,GrpE-YR,0.4962,37
10,DC-HP-WR,0.509,37
10,DC-HP-WR,0.4808,37
10,DC-HP-WR,0.4946,37
10,DC-HP-WR,0.5149,37
10,DC-HP-WR,0.4927,37
10,DC-HP-WR,0.5143,37
10,DnaJ-YR,0.4459,37
10,DnaJ-YR,0.4286,37
10,DnaJ-YR,0.4282,37
10,DnaJ-YR,0.4429,37
10,DnaJ-YR,0.4433,37
10,DnaJ-YR,0.461,37
10,DC-YR,0.5328,37
10,DC-YR,0.5172,37
10,DC-YR,0.5171,37
10,DC-YR,0.5013,37
10,DC-YR,0.496,37
10,DC-YR,0.5398,37
10,BHI,0.1015,37
10,BHI,0.0376,37
10,BHI,0.0833,37
10,BHI,0.0842,37
10,BHI,0.0782,37
10,BHI,0.1077,37
0,JX0811,0.0869,42
0,JX0811,0.0881,42
0,JX0811,0.0921,42
0,JX0811,0.1094,42
0,JX0811,0.119,42
0,JX0811,0.1104,42
0,HA9801,0.0846,42
0,HA9801,0.0997,42
0,HA9801,0.1001,42
0,HA9801,0.1032,42
0,HA9801,0.0942,42
0,HA9801,0.1018,42
0,hrcA-YR,0.0835,42
0,hrcA-YR,0.0969,42
0,hrcA-YR,0.0984,42
0,hrcA-YR,0.1022,42
0,hrcA-YR,0.1087,42
0,hrcA-YR,0.0919,42
0,GrpE-YR,0.0906,42
0,GrpE-YR,0.1009,42
0,GrpE-YR,0.1088,42
0,GrpE-YR,0.0955,42
0,GrpE-YR,0.0957,42
0,GrpE-YR,0.0899,42
0,DC-HP-WR,0.0904,42
0,DC-HP-WR,0.0953,42
0,DC-HP-WR,0.0937,42
0,DC-HP-WR,0.0909,42
0,DC-HP-WR,0.1094,42
0,DC-HP-WR,0.1067,42
0,DnaJ-YR,0.088,42
0,DnaJ-YR,0.0935,42
0,DnaJ-YR,0.0975,42
0,DnaJ-YR,0.0942,42
0,DnaJ-YR,0.0965,42
0,DnaJ-YR,0.1043,42
0,DC-YR,0.0905,42
0,DC-YR,0.0931,42
0,DC-YR,0.0986,42
0,DC-YR,0.0961,42
0,DC-YR,0.0886,42
0,DC-YR,0.0916,42
0,BHI,0.0975,42
0,BHI,0.0846,42
0,BHI,0.0903,42
0,BHI,0.0878,42
0,BHI,0.0896,42
0,BHI,0.0951,42
2,JX0811,0.1687,42
2,JX0811,0.1914,42
2,JX0811,0.2113,42
2,JX0811,0.2126,42
2,JX0811,0.1719,42
2,JX0811,0.1646,42
2,HA9801,0.1335,42
2,HA9801,0.1784,42
2,HA9801,0.1804,42
2,HA9801,0.1902,42
2,HA9801,0.1716,42
2,HA9801,0.1704,42
2,hrcA-YR,0.1173,42
2,hrcA-YR,0.2055,42
2,hrcA-YR,0.1894,42
2,hrcA-YR,0.2021,42
2,hrcA-YR,0.1896,42
2,hrcA-YR,0.1909,42
2,GrpE-YR,0.1088,42
2,GrpE-YR,0.1484,42
2,GrpE-YR,0.1143,42
2,GrpE-YR,0.1692,42
2,GrpE-YR,0.1734,42
2,GrpE-YR,0.1775,42
2,DC-HP-WR,0.1202,42
2,DC-HP-WR,0.1806,42
2,DC-HP-WR,0.1991,42
2,DC-HP-WR,0.2154,42
2,DC-HP-WR,0.2003,42
2,DC-HP-WR,0.2075,42
2,DnaJ-YR,0.0997,42
2,DnaJ-YR,0.1742,42
2,DnaJ-YR,0.1672,42
2,DnaJ-YR,0.1479,42
2,DnaJ-YR,0.167,42
2,DnaJ-YR,0.1792,42
2,DC-YR,0.1025,42
2,DC-YR,0.1737,42
2,DC-YR,0.1622,42
2,DC-YR,0.1312,42
2,DC-YR,0.1574,42
2,DC-YR,0.1525,42
2,BHI,0.1042,42
2,BHI,0.0882,42
2,BHI,0.118,42
2,BHI,0.0778,42
2,BHI,0.1076,42
2,BHI,0.1207,42
4,JX0811,0.2668,42
4,JX0811,0.2696,42
4,JX0811,0.2736,42
4,JX0811,0.3456,42
4,JX0811,0.36,42
4,JX0811,0.3601,42
4,HA9801,0.4092,42
4,HA9801,0.4268,42
4,HA9801,0.421,42
4,HA9801,0.3802,42
4,HA9801,0.4572,42
4,HA9801,0.4976,42
4,hrcA-YR,0.3724,42
4,hrcA-YR,0.3963,42
4,hrcA-YR,0.4021,42
4,hrcA-YR,0.39,42
4,hrcA-YR,0.3965,42
4,hrcA-YR,0.3802,42
4,GrpE-YR,0.3439,42
4,GrpE-YR,0.3466,42
4,GrpE-YR,0.3821,42
4,GrpE-YR,0.4106,42
4,GrpE-YR,0.4156,42
4,GrpE-YR,0.3746,42
4,DC-HP-WR,0.357,42
4,DC-HP-WR,0.3758,42
4,DC-HP-WR,0.4043,42
4,DC-HP-WR,0.3849,42
4,DC-HP-WR,0.3777,42
4,DC-HP-WR,0.3481,42
4,DnaJ-YR,0.3159,42
4,DnaJ-YR,0.3114,42
4,DnaJ-YR,0.3506,42
4,DnaJ-YR,0.3218,42
4,DnaJ-YR,0.3144,42
4,DnaJ-YR,0.302,42
4,DC-YR,0.2974,42
4,DC-YR,0.2823,42
4,DC-YR,0.3031,42
4,DC-YR,0.3051,42
4,DC-YR,0.3332,42
4,DC-YR,0.2897,42
4,BHI,0.0919,42
4,BHI,0.0682,42
4,BHI,0.0867,42
4,BHI,0.0886,42
4,BHI,0.0849,42
4,BHI,0.1099,42
6,JX0811,0.4745,42
6,JX0811,0.4866,42
6,JX0811,0.4696,42
6,JX0811,0.4484,42
6,JX0811,0.4578,42
6,JX0811,0.4677,42
6,HA9801,0.4729,42
6,HA9801,0.4753,42
6,HA9801,0.4659,42
6,HA9801,0.4294,42
6,HA9801,0.4378,42
6,HA9801,0.481,42
6,hrcA-YR,0.4531,42
6,hrcA-YR,0.4479,42
6,hrcA-YR,0.4597,42
6,hrcA-YR,0.4757,42
6,hrcA-YR,0.468,42
6,hrcA-YR,0.4539,42
6,GrpE-YR,0.4123,42
6,GrpE-YR,0.4066,42
6,GrpE-YR,0.4195,42
6,GrpE-YR,0.4521,42
6,GrpE-YR,0.4578,42
6,GrpE-YR,0.4496,42
6,DC-HP-WR,0.4151,42
6,DC-HP-WR,0.3992,42
6,DC-HP-WR,0.5026,42
6,DC-HP-WR,0.4958,42
6,DC-HP-WR,0.4913,42
6,DC-HP-WR,0.4417,42
6,DnaJ-YR,0.3848,42
6,DnaJ-YR,0.3899,42
6,DnaJ-YR,0.4024,42
6,DnaJ-YR,0.4405,42
6,DnaJ-YR,0.4035,42
6,DnaJ-YR,0.4276,42
6,DC-YR,0.3857,42
6,DC-YR,0.4445,42
6,DC-YR,0.4939,42
6,DC-YR,0.4379,42
6,DC-YR,0.4674,42
6,DC-YR,0.4051,42
6,BHI,0.0394,42
6,BHI,0.0672,42
6,BHI,0.0229,42
6,BHI,0.0735,42
6,BHI,0.1048,42
6,BHI,0.0323,42
8,JX0811,0.5926,42
8,JX0811,0.5726,42
8,JX0811,0.542,42
8,JX0811,0.5515,42
8,JX0811,0.5529,42
8,JX0811,0.5403,42
8,HA9801,0.4816,42
8,HA9801,0.5247,42
8,HA9801,0.5175,42
8,HA9801,0.5154,42
8,HA9801,0.4929,42
8,HA9801,0.5114,42
8,hrcA-YR,0.4772,42
8,hrcA-YR,0.4922,42
8,hrcA-YR,0.5667,42
8,hrcA-YR,0.5254,42
8,hrcA-YR,0.5014,42
8,hrcA-YR,0.4621,42
8,GrpE-YR,0.4828,42
8,GrpE-YR,0.4892,42
8,GrpE-YR,0.4714,42
8,GrpE-YR,0.5293,42
8,GrpE-YR,0.5185,42
8,GrpE-YR,0.4701,42
8,DC-HP-WR,0.4915,42
8,DC-HP-WR,0.5471,42
8,DC-HP-WR,0.5648,42
8,DC-HP-WR,0.5602,42
8,DC-HP-WR,0.5342,42
8,DC-HP-WR,0.4669,42
8,DnaJ-YR,0.4553,42
8,DnaJ-YR,0.4645,42
8,DnaJ-YR,0.4528,42
8,DnaJ-YR,0.4864,42
8,DnaJ-YR,0.4576,42
8,DnaJ-YR,0.4542,42
8,DC-YR,0.4995,42
8,DC-YR,0.4912,42
8,DC-YR,0.5122,42
8,DC-YR,0.543,42
8,DC-YR,0.5227,42
8,DC-YR,0.4788,42
8,BHI,0.0723,42
8,BHI,0.0627,42
8,BHI,0.0478,42
8,BHI,0.0532,42
8,BHI,0.0745,42
8,BHI,0.0656,42
10,JX0811,0.6309,42
10,JX0811,0.594,42
10,JX0811,0.5343,42
10,JX0811,0.5126,42
10,JX0811,0.526,42
10,JX0811,0.5125,42
10,HA9801,0.5895,42
10,HA9801,0.5697,42
10,HA9801,0.5413,42
10,HA9801,0.539,42
10,HA9801,0.5271,42
10,HA9801,0.4814,42
10,hrcA-YR,0.6014,42
10,hrcA-YR,0.5354,42
10,hrcA-YR,0.5204,42
10,hrcA-YR,0.5177,42
10,hrcA-YR,0.5208,42
10,hrcA-YR,0.4681,42
10,GrpE-YR,0.5917,42
10,GrpE-YR,0.5181,42
10,GrpE-YR,0.5343,42
10,GrpE-YR,0.5316,42
10,GrpE-YR,0.5069,42
10,GrpE-YR,0.4665,42
10,DC-HP-WR,0.5982,42
10,DC-HP-WR,0.5061,42
10,DC-HP-WR,0.5311,42
10,DC-HP-WR,0.5368,42
10,DC-HP-WR,0.4987,42
10,DC-HP-WR,0.4586,42
10,DnaJ-YR,0.4901,42
10,DnaJ-YR,0.4698,42
10,DnaJ-YR,0.4992,42
10,DnaJ-YR,0.4965,42
10,DnaJ-YR,0.4904,42
10,DnaJ-YR,0.4475,42
10,DC-YR,0.5497,42
10,DC-YR,0.5084,42
10,DC-YR,0.5084,42
10,DC-YR,0.5428,42
10,DC-YR,0.5223,42
10,DC-YR,0.4928,42
10,BHI,0.102,42
10,BHI,0.0933,42
10,BHI,0.1016,42
10,BHI,0.0561,42
10,BHI,0.0813,42
10,BHI,0.0914,42
